num,database,description
1,AAM - Media Intelligence Center,Explore audited circulation reports and publishers' statements for media analysis in the United States and Canada.
2,ABI/ProQuest,"Features full-text journals, dissertations, working papers, and key business and economics periodicals as well as company/country/industry-focused reports, and major news sources."
3,Africa Capital Digest,Africa Capital Digest covers private capital investment market activity on the African continent.
4,African Business,"African Business reports on business trends, emerging markets, current events, and more taking place on the African continent."
5,Agenda,Corporate board analysis platform.
6,Aktienführer Data Archive,"Provides structured access to research data on the state and development of German listed stock companies and the German capital market in general, from 1956 to 2018. Also offers full text access to the digitized yearly issues of the Hoppenstedt-Aktienführer and its predecessors from 1870 to 1999."
7,AllAfrica.com,News source focused on Africa and African issues.
8,AlphaSense,"Market intelligence and research platform containing millions of documents, including earnings reports, expert calls, financial models, and market analyses. AlphaSense replaces Tegus, Canalyst, and BamSEC."
9,American City Business Journals,Local business news and digital editions from major U.S. cities.
10,American Consumer Culture 1935 - 1965,Discover market research reports (1935-1965) by consumer analyst Ernest Dichter whose work was foundational to many iconic advertising campaigns.
11,American Hospital Association Survey Databases,U.S. hospital census based on AHA surveys.
12,Art Newspaper (The Art Newspaper),"Based in London and New York City, The Art Newspaper provides daily online updates surrounding visual arts as they intersect with international politics and economics, developments in law, tax, the art market, the environment, and official cultural policy."
13,Bank Regulatory Database,Database of bank and savings institution accounting data.
14,BCC Research,"Global reports on economic, scientific, and technological developments."
15,Best's Library Center,Insurance company profiles.
16,Bloomberg,"Bloomberg account setup for first time users is temporarily unavailable. Financial data on equities, indices, currencies, commodities and futures."
17,Bloomberg.com,Business and market analysis from Businessweek and Bloomberg News.
18,BoardEx,Full details on public company boards and board directors and senior managers from companies around the globe.
19,Business Insider,"Multinational news site covering business and financial topics such as technology, politics, global affairs, healthcare, business, energy and sustainability."
20,Business of Fashion (BoF),"London-based platform that provides multimedia news, analysis, career postings, and advice on the global fashion and beauty industries."
21,Business Plans Handbook,"Sample business plans, templates, listings, glossary and bibliography."
22,Business Source Complete,Academic articles and company/industry reports. Includes Harvard Business Review full-text.
23,CapExdx,"Explore India's project implementation history with 40,000+ infrastructure, manufacturing, and service projects in progress since 1995, spanning government, private sector, and foreign-led initiatives."
24,Capital Changes,"Access is currently not available. Issue has been reported. Please contact infoservices@hbs.edu for urgent requests. Capital Changes US (Corporate Capital Histories), provides capital structure timelines of U.S. public corporations by recording changes; name changes, new stock issues, dividends, splits and reverse splits. Navigate to Practice Areas, Tax - Estates, Gifts & Trusts This database is licensed for academic use only. No commercial use is allowed."
25,Capital IQ,"Data on public and private companies, investment firms, capital transactions, and people. Includes S&P RatingsDirect."
26,Capital IQ - Identifiers,"Identifiers provide CUSIP numbers, standardized descriptions and additional data attributes for over 5 million corporate, municipal and government securities offered in North America."
27,CB Insights,"Tracks global venture capital, angel investment, private equity, M&A, and IPO activity related to private companies."
28,CEIC Data,"Macroeconomic, industrial, and financial time series for China and other countries."
29,Center for Research in Security Prices (CRSP),"Security-level historical pricing, returns, and volume data on more than 20,000 stocks (inactive and active companies) from the NYSE, AMEX, and NASDAQ markets, dating back to 1925 (monthly data) and 1962 (daily data)."
30,Chicago Board Options Exchange Volatility Index,The Volatility Index (VIX) is a key measure of market expectations of 30-day volatility conveyed by S&P 500 stock index option prices.
31,China Data Online,English-language data from the National Bureau of Statistics of China.
32,China Geo-Explorer,China statistics maps by topic and location.
33,Compact Disclosure,Selected financial information found in the SEC filings of publicly traded US companies (1992-2006).
34,Compustat,"Comprehensive financial databases by Standard & Poor's, containing price data for publicly traded companies, market information on important banks in the United States, and a wide range of technical data."
35,ComScore,Website use and transaction behavioral data for 2020.
36,Conference Board,"Key issues in business management and economics, news and analysis of economic topics, and annual surveys for executive compensation and corporate contributions."
37,Cortellis,"Pharma information on drug pipelines, trials, deals, companies, and patents."
38,CountryData.com,"Political risk data with over 75 country risk-related variables including political, social, economic, financial, and government stability."
39,CPdx Consumer Pyramids,A continuous survey measuring household well-being in India.
40,Crunchbase,"Search, track, and monitor private and portfolio company data, people and investors."
41,D&B Hoovers,"A large database of public and private companies and their executives throughout the world to identify job leads and companies by geography, size and industry. Also includes market research and analyst reports."
42,Datastream,"Historic and global coverage of equities, stock markets, commodities, futures, currencies, options, bond markets, company financials, and economic data."
43,DealScan,Historical information on the terms and conditions of deals in the global commercial loan market.
44,Dow Jones Averages & Total Return Indexes,Historical data from Dow Jones Averages and Total Return Indexes.
45,Dun & Bradstreet Private Company Listings,Historical archive of company listings since 1969.
46,EconLit,Comprehensive bibliography of economics literature.
47,Economist (The Economist),"The Economist is a weekly publication based in Britain that focuses on current affairs, international business, politics, technology, and culture."
48,Economist Intelligence Unit,In-depth country and selected industry analysis and data.
49,Economist Intelligence Unit Country Reports Archive,Online archive of quarterly country reports from the Economist Intelligence Unit (1952-1995).
50,EMARKETER,"Market data, statistics, and analysis on the internet, e-business, and emerging technologies."
51,EMIS (Emerging Markets Information System),"Country and company information on Africa, Asia, Australia, Europe, and the Middle East."
52,Encyclopedia of Associations,Descriptions of nonprofit membership organizations worldwide.
53,Endpoints News,"News site reporting on global biotech, biopharma, drug, and health news."
54,Environmental Business International,Access to Environmental Business Journal and Climate Change Business Journal issues.
55,Eventus,State-of-the-art event study estimation using CRSP stock database or other stock return data.
56,Execucomp,Executive compensation for S&P 1000 firms from 1992 to present.
57,Extel,"International finance research and information, including team rankings, league tables, rankings on deals, asset management, and securities firms. Formerly Institutional Investor.com"
58,Factiva,"Aggregated news from national and local newspapers, magazines, trade publications, and transcripts."
59,FactSet,Financial data analysis platform to analyze data from global equity and fixed income markets.
60,Fama-French Portfolios and Factors,"Tool for measuring and analyzing portfolio performance, measuring the impact of active management, portfolio construction, and estimating future returns."
61,Federal Reserve Bank Reports,"Reports on foreign exchange, interest rates, and state employment."
62,Finaeon,"Economic and financial time-series database including 150 countries and 6,500 different data series. Formerly known as Global Financial Data."
63,Financial Times,"Financial Times is a London-based international business daily covering business, political, and world affairs news."
64,Financial Times Archive,"Archive including all articles, advertisements, and market listings published in Financial Times from 1888-2021."
65,Florida-UCLA-LoPucki Bankruptcy Research Database,"Data on bankruptcies filed by large public companies since October 1, 1979."
66,Fortune Magazine Archive,Provides cover-to-cover PDFs of Fortune Magazine issues from 1930-2000.
67,Frost & Sullivan,"Reports and market trends encompassing various technology, energy, and manufacturing-related fields."
68,Gale Directory Library,"Online access to directories of associations, broadcast media, brands, business information, consultants, and publications."
69,Gallup Analytics,"Access to recent economic, social, well-being, and political survey data, plus historical trends."
70,Gartner,"Technology-related research, news, analysis, trends, and leading practices."
71,Global Private Capital Association,Research and analytics produced by the Global Private Capital Association representing private capital investors across global regions.
72,Google Scholar,"An index of scholarly literature across disciplines, languages, time periods, and publishing formats."
73,GuideStar Pro,"Information about the missions, programs, and finances of IRS-recognized organizations."
74,Harvard Business Review,Harvard Business School's monthly publication covering business theory and practice. Access via Business Source Complete.
75,Health Business Fulltext Elite,Journal articles on all non-clinical aspects of health care management.
76,How We Made It in Africa,"Created out of Cape Town, South Africa, How We Made It in Africa traces business and entrepreneurial developments on the African continent."
77,IBISWorld,"Industry research reports for the US, UK, Australia, Canada, and China. Reports are also available for select US states."
78,IEEE Xplore,"Full-text access to IEEE transactions, IEEE and IEE journals, magazines, and conference proceedings published since 1988, and all current IEEE Standards."
79,ImpactAlpha,News and information relating to sustainable and impact investment markets.
80,Indiastat.com,Statistics from Indian government and industry associations.
81,Infogroup US Historical Business Data,"Annual geo-coded records of United States businesses and other organizations including company information such as contact information, industry description, annual revenues, number of employees, and year established. Infogroup is a product of Data Axle."
82,Information (The Information),In-depth news articles about the technology industry.
83,Insiders Data,"Stock ownership data on institutions, other major holders, and insiders."
84,Institute for the Study of Security Markets (ISSM),"Tick-by-tick data covering NYSE, AMEX, and NASDAQ (1983-1992)."
85,Institutional Shareholder Services,"Information on corporate directors, executive compensation, corporate governance and company vote results. (Listed in WRDS as ISS ESG)."
86,International Directory of Company Histories,"Comprehensive histories of 8,500 of the world's largest and most influential companies."
87,JSTOR,"Scanned images of academic journal issues, often dating back to the initial issue, as well as eBooks and other academic resources."
88,Leadership Connect,"Background and contact information on leaders in business, government, nonprofits, and news media in the United States."
89,LSEG ESG,"Relative ESG performance, commitment, and effectiveness across 10 main themes based on publicly-reported data. In WRDS, click on LSEG, then on LSEG ESG."
90,LSEG Workspace,"Features market quotes, earnings estimates, financial fundamentals, press releases, transaction data, corporate filings, ownership profiles and sell-side equity research."
91,Making of the Modern World,"Digital resource containing images from 61,000 works of literature on economic and business published from 1450 through 1850."
92,Management and Business Review,"A journal compiling papers on broad business topics, such as accounting, artificial intelligence, business analytics, corporate governance, finance, globalization, marketing, organizational change, and sustainability through the lens of management practices and real-world business systems."
93,Massinvestor,Database of potential venture funders in the US.
94,Mergent Archives,Access to annual reports issued by companies listed in the United States and internationally and select business annuals archives (late 1800s-present).
95,Mergent Fixed Income Securities Database,Comprehensive database of publicly-offered United States bonds.
96,Mergent Intellect,Provides access to private and public U.S and international business and industry data.
97,Mergent Municipal Bond Database,Collections of municipal bond data.
98,MFLINKS,Details on holdings for particular mutual funds at specific points in time.
99,Mintel Reports,"In Person access is not currently available. Issue has been reported. U.S. consumer market studies and primary and secondary data analysis for topics including food, beverage, apparel, beauty, retail, and travel."
100,Moody's Analytics CRE,"A real estate platform to analyze property performance, along with comps and market analytics, new construction, sales transactions, and more. Formerly known as REIS."
101,Morningstar Direct,Multi-currency research platform that provides performance and holdings analyses of investments.
102,Mosaic,Valuation model automation and collaboration platform for building leveraged buyout and discounted cash flows models and more.
103,MSCI ESG Direct,"A suite of environmental, social, and governance (ESG) research and analysis products from MSCI."
104,MSCI GMI Ratings,"Corporate governance data, including corporate governance and ownership, board structure, audit fees, takeover defenses, and executive and director compensation information."
105,New York Times,"Effective August 21, 2025, all Harvard users must register or re-register their New York Times account through the Harvard University subscription. New users should create their account by selecting the “Set Up Account” button under their user group. Existing users will need to re-register using the same ""Set Up Account"" button. Direct access to one of the leading newspapers in the United States."
106,Nexis Uni,"Nexis Uni features more than 15,000 news, business and legal sources from LexisNexis."
107,Nikkei Asian Review,"News and analysis covering Japan, China, India and Southeast Asia over business, economics, politics, and the arts topics."
108,OptionMetrics Ivy DB,"Historical price, option sensitivities, and implied volatility data for United States equity and index options markets."
109,Orbis,A global private company comparison database containing millions of company data points.
110,Palgrave Encyclopedia of Strategic Management,"Biographical, theoretical, and applied articles (with bibliographic references) on strategic management."
111,Passport,Market research reports on consumer products and industries worldwide from Euromonitor International.
112,PatentSight,Complete patent search database with advanced analytics.
113,Payload Pro,"Market intelligence, news and reports on the business and policy of space."
114,Pensions & Investments Research Center,"Platform of key institutional investment data, providing access to profiles and data on pension funds, money managers, and investment consultants as well as 5 years of historical data."
115,Pitchbook,"Automated scraping in PitchBook is prohibited. User accounts conducting automated scraping will be permanently disabled by PitchBook. Information on companies, deals, funds, investors and service providers across the private investment lifecycle."
116,PMR Journals (Portfolio Management Research),Full-text issues (current and archival) of quarterly publications covering research on global investment and finance.
117,Politico Pro,Resource providing legislative and regulatory insights.
118,Preqin,"HarvardKey and In Person access is not currently available. Issue has been reported. Data and information on private equity and venture capital companies, funds, and deals; debt and real estate."
119,Private Equity International,"News and reports on the people, deals, funds and financial trends in the private equity industry in the US, Europe and Asia."
120,Private Equity Real Estate,Global information on private real estate investments and deals.
121,ProQuest Historical Annual Reports,Company annual reports available through searchable PDF images covering 800+ US companies (1844-present).
122,ProQuest Statistical Insight,Index to statistical content of government and private sector data sources.
123,ProQuest TDM Studio,"Text-mine large volumes of published newspapers, magazines, scholarly journals, dissertations, and other Harvard-licensed content from ProQuest."
124,Prowess,"Data for over 40,000 Indian companies. This includes listed companies, unlisted public companies and private companies of all sizes and ownership groups. It contains time-series data since 1990."
125,PsycINFO,"Indexes over 1,800 journals and publications in more than 24 languages annually, providing abstracts for professional and academic literature in psychology and related disciplines."
126,PsycTESTS,"Provides access to psychological tests, measures, scales, surveys, and other assessments as well as descriptive information about the test and its development and administration."
127,PubMed,"Global database of articles related to medicine, including health care management."
128,Real Deal,"Real estate news, market intelligence, research, proprietary rankings, deal analysis, profiles, and trends."
129,Realistic Optimist,Interviews with founders and investors shaping the globalized startup scene.
130,Revelio,"A comprehensive and dynamic workforce database developed by collecting and aggregating all publicly available professional profiles, job postings, employee sentiment reviews, and layoff notices."
131,RKMA Market Research,"Market research reports covering business to business, healthcare, and consumer markets."
132,Russell US Equity Indexes,Access comprehensive coverage of equity and fixed income markets.
133,S&P Capital IQ Pro,"An industry-focused platform covering news, data, transactions, filings and analysis covering financial, real estate, insurance, energy, media, consumer and industrial industries."
134,S&P Global ESG Scores,"Environment, social and governance scores and TruCost data. (Listed in WRDS as Compustat-Capital IQ)"
135,ScienceDirect,"Articles from journals in business, management, life, physical, medical, technical, and social sciences topics."
136,SDC Platinum - Securities Data Company,"Provides detailed information on new issues, mergers and acquisitions, syndicated loans, and private equity for the global financial marketplace."
137,SEC Analytics Suite,"Retrieve datasets from all SEC filings, parsing millions of regulatory reports based on custom criteria. Includes the full list of exhibits, filing size, SEC acceptance date and time, conformed period of the report, historical information on the state of incorporation and headquarters, and SIC code."
138,SimplyAnalytics,"Generates tables and maps based upon desired United States data, including population, age, race, income, employment, and education."
139,Social Science Research Network (SSRN),Abstracts of scholarly working papers and forthcoming papers in the social sciences. Full-text available for some papers.
140,Sports Business Research Network (SBRN),News and market research on the sports industry.
141,SpotlightNews,"News application with more than 200 content partners ranging from college newspapers to national and international publishers like Forbes, Fortune, Time, Bloomberg, Reuters and more. All content is full-text."
142,Standard & Poor's NetAdvantage,"Detailed descriptions of companies, industries, and mutual funds."
143,Stat Plus,"News and analysis on health care, pharmaceuticals, and biotech industries, including policy and science developments."
144,States of India,Economic and social data at the state level for India.
145,Statista,"A searchable database of statistics, studies, dossiers, infographics and more."
146,Sustainalytics,"ESG research, ratings, and data from a variety of sources, including company reports, regulatory filings, public documents, news and media coverage, NGOs, and industry associations."
147,Technavio,"Reports on a variety of global industries including technology, healthcare, retail, energy, aerospace, and automotive."
148,TRACE - OTC Corporate Bond Transaction Data,TRACE stands for Trade Reporting and Compliance Engine.
149,Trades and Quotes - TAQ,"Intraday transactions data (trades and quotes) for all securities listed on the NYSE and AMEX, as well as NASDAQ and Small Cap issues."
