company_name,description,city,state,revenue_estimate,employees,key_person_1_name,key_person_1_title,key_person_1_email,key_person_1_phone,key_person_2_name,key_person_2_title,key_person_2_email,key_person_2_phone,website,source_urls
City Brewing Company,"Self-described largest full-service alcoholic beverage contract manufacturer in the US; co-packs hard seltzer, FMB, beer, spirit-based RTDs and premium non-alcoholic beverages; plants in La Crosse WI, Memphis TN, Latrobe PA, Irwindale CA; founded 1858",La Crosse,WI,"$269.4M (ZoomInfo/Prospeo estimate)","1,800+ (press estimate)",Ross Sannes,CEO,,,,,,,https://www.citybrewery.com/,https://www.citybrewery.com/; https://en.wikipedia.org/wiki/City_Brewing_Company; https://www.wizmnews.com/2025/08/29/ownership-of-city-brewery-changing-hands/; https://prospeo.io/c/city-brewing-company-revenue
DrinkPAK,"Contract manufacturer of alcoholic and non-alcoholic canned beverages founded 2020; full-service procurement, batching, processing, filling, packaging, warehousing and distribution; multiple Santa Clarita facilities plus Texas expansion; Inc.5000 #346 (2025)",Santa Clarita,CA,,,Nate Patena,CEO & Co-founder,,,Jon Ballas,President & Co-founder,,,https://www.drinkpak.com/,https://www.drinkpak.com/aboutus; https://theorg.com/org/drinkpak; https://www.scvedc.org/blog/drinkpak-continues-santa-clarita-expansion-with-new-172843-sf-facility
Sprecher Brewing Co.,"Craft brewery (founded 1985) and full-service contract manufacturer/co-packer of craft sodas, beer and other beverages; bottling line, can line and expanded warehouse; acquired Excent LLC packaging operations in 2023",Glendale,WI,,160 (2023 press),Sharad Chadha,President & CEO,,,,,,,https://sprecherbrewery.com/,https://sprecherbrewery.com/pages/co-packing; https://biztimes.com/sharad-chadha-wisconsin275/; https://www.visitmilwaukee.org/good-things-brewing/milwaukee-made/milwaukee-made-s1e2/qa-sharad-chadha/; https://fabwisconsin.com/2023/10/17/sprecher-brewing-co-adds-warehouse-packaging-operations-with-acquisition/
Abita Brewing Company,"Craft brewery (founded 1986) offering contract brewing and co-packing on a 200-barrel Steinecker brewhouse and Krones packaging line; produces beer, spirit- and malt-based RTDs, seltzers and sodas",Abita Springs,LA,,,Troy Ashley,President (per 2026 trade press; earlier sources name David Blossman),,,,,,,https://abita.com/,https://abita.com/contract-brewing/; https://thebrewermagazine.com/abita-introduces-new-beverage-group-as-it-enters-40th-year/; https://en.wikipedia.org/wiki/Abita_Brewing_Company
Gordon Biersch Brewing Company,"Production brewery and bottling plant (114,000 sq ft, opened 1997) with ~90% of capacity dedicated to contract brewing/co-packing including Costco and Trader Joe's programs; German brewing and packaging equipment",San Jose,CA,,,Dan Gordon,Co-founder & Majority Owner,,,,,,,https://gordonbiersch.com/,https://gordonbiersch.com/co-packing/; https://en.wikipedia.org/wiki/Gordon_Biersch_Brewing_Company; https://www.brewbound.com/news/gordon-biersch-co-founder-reclaims-majority-stake-in-decades-old-brewery/
Portland Bottling Company,"Non-alcoholic beverage co-packer founded 1924; contract canning at up to 1,450 cans per minute plus cartoning, multi-packing, repacking, 3PL and warehousing; acquired by Ed Maletis' Limnes Bottling Acquisition Co. in 2016. Main phone: 503-231-5035",Portland,OR,,76 (ZoomInfo),Ed Maletis,Chairman & Owner,,,,,,,https://www.portlandbottling.com/,https://www.portlandbottling.com/about-us/; https://www.portlandbottling.com/contact-us/; https://www.globenewswire.com/news-release/2016/11/01/1312592/0/en/Ed-Maletis-and-family-acquire-100-year-old-Portland-Bottling-Co.html; https://www.zoominfo.com/c/portland-bottling-co/347414757
US Beverage Packers,"RTD beverage co-packer; 650,000 sq ft plant in Raritan Center Business Park with 5 filling lines (cans, bottles, jugs), hot fill and cold fill, tunnel pasteurization in Keasbey and Edison NJ; packages 50M+ cases/year including AriZona products",Keasbey,NJ,,,,,,,,,,,https://www.usbevpack.com/,https://www.usbevpack.com/about; https://www.usbevpack.com/capabilities; https://www.crunchbase.com/organization/us-beverage-packers
Nor-Cal Beverage Co.,"Founded 1937; billed as the largest independent contract packager west of the Mississippi; co-packs for Coca-Cola, AriZona, Monster and others; plants in West Sacramento and Anaheim; acquisition by Manna Beverages & Ventures announced 2023",West Sacramento,CA,,,Shannon Deary-Bell,President & CEO,,,,,,,https://www.norcalbev.com/,https://www.bevindustry.com/articles/84796-norcal-beverages-diversified-business; https://www.businesswire.com/news/home/20230926261567/en/Manna-Beverages-Ventures-Announces-Intent-to-Acquire-Nor-Cal-Beverage-Company; https://foodchainmagazine.com/news/nor-cal-beverage-proves-that-bold-decisions-and-hard-work-can-pay-dividends/
Carolina Beverage Group,"Beverage contract manufacturer and private-label producer for national/international brands; plastic and aluminum cans and glass bottles. Main phone: 704-799-2337",Mooresville,NC,,235-300 (Datanyze/ZoomInfo range),Brian Demos,President & CEO,,,,,,,https://carolinabeveragegroup.com/,https://carolinabeveragegroup.com/; https://www.prnewswire.com/news-releases/carolina-beverage-group-llc-appoints-brian-demos-as-its-president-and-chief-executive-officer-300745028.html; https://www.datanyze.com/companies/carolina-beverage-group/345183397
Southeast Bottling & Beverage,"Beverage co-packer with hot-fill and cold-fill bottling operations",Dade City,FL,,,,,,,,,,,http://www.southeast-bottling.com/,http://www.southeast-bottling.com/; https://rocketreach.co/southeast-bottling-beverage-profile_b5c9eb7df42e3117; https://www.owler.com/company/southeast-bottling
