company_name,coman_status,source,city,state,website,sales_usd,employees_total,ownership_type,parent_company,naics,business_description,segment_if_known,n_contacts,n_contacts_email_avail,sweep_key_person,sweep_source_urls
AZPACK (Arizona Production & Packaging),confirmed co-man (public sweep),sweep only,Tempe,AZ,https://www.azpack.com/,,,,,,"Contract beverage manufacturer specializing in soft drinks, teas, infused waters, energy drinks, juices and private-label drinks; bottling and canning plus beverage incubation facility; acquired by Re",beverage,0,0,Peter Reilly (Co-founder),https://www.prnewswire.com/news-releases/refresco-acquires-azpack-in-arizona-usa-300957771.html; https://www.globenewswire.com/en/news-release/2019/11/14/1946899/0/en/Refresco-acquires-AZPACK-in-Arizona-USA.html; https://www.contractresearchmap.com/providers/arizona-production-packaging-azpack
Abita Brewing Company,confirmed co-man (public sweep),sweep only,Abita Springs,LA,https://abita.com/,,,,,,"Craft brewery (founded 1986) offering contract brewing and co-packing on a 200-barrel Steinecker brewhouse and Krones packaging line; produces beer, spirit- and malt-based RTDs, seltzers and sodas",beverage,0,0,Troy Ashley (President (per 2026 trade press; earlier sources name David Blossman)),https://abita.com/contract-brewing/; https://thebrewermagazine.com/abita-introduces-new-beverage-group-as-it-enters-40th-year/; https://en.wikipedia.org/wiki/Abita_Brewing_Company
Adirondack Beverages Corp,confirmed co-man (public sweep),hoovers+sweep,Schenectady,New York,http://www.adirondackbeverages.com,3.8142498E7,1000,Private,Polar Corp.,312111,Adirondack Beverages Corp is primarily engaged in manufacturing soft drinks and carbonated waters.,beverage,3,1,,https://www.adirondackbeverages.com/about-us/; https://en.wikipedia.org/wiki/Adirondack_Beverages
Ameripack Foods,confirmed co-man (public sweep),sweep only,Hughes Springs,TX,https://ameripackfoods.com,,51-250 (ZoomInfo),,,,"Private-label/custom-brand co-packer of ready-to-cook fresh and frozen foods; USDA & FDA certified, SQF/GFSI audited; 57,000 sq ft plant; clients include HEB, Kroger, Sysco, US Foods",wet-frozen-supplements,0,0,,https://ameripackfoods.com/;https://www.zoominfo.com/c/ameripack-foods-llc/367093757;https://www.fsis.usda.gov/inspection/fsis-inspected-establishments/ameripack-foods-llc
Anthony-Thomas Candy Company,confirmed co-man (public sweep),hoovers+sweep,Columbus,Ohio,http://www.anthony-thomas.com,2.3741371E7,191,Private,Anthony-Thomas Candy Company,311340,"Anthony-Thomas Candy is the largest family-owned-and-operated candy company in the Midwest. It makes boxed chocolate confections, including buckeyes (peanut butter-filled), truffles, cordials, butter ",snack-bakery,3,1,Joseph Zanetos (President),https://en.wikipedia.org/wiki/Anthony_Thomas_Candy_Company;https://anthony-thomas.com/pages/story
Arizona Nutritional Supplements (ANS),confirmed co-man (public sweep),sweep only,Chandler,AZ,https://www.aznutritional.com,$219.8M (Owler est. 2026),"~154-249 (ests. vary; some sources 500-1,000 across locations)",,,,"Full-service cGMP supplement contract manufacturer founded 1996 (capsules, tablets, powders)",wet-frozen-supplements,0,0,Doug Reader (President & CEO (per promotion announcement; RocketReach lists Harrison Pappas as CEO)),https://www.owler.com/company/aznutritional;https://rocketreach.co/arizona-nutritional-supplements-ans-profile_b5d6444af42e3269;https://leadiq.com/c/arizona-nutritional-supplements-ans/5a1d82d024000024005d9dd2
Bakery Barn,confirmed co-man (public sweep),sweep only,Pittsburgh,PA,https://bakery-barn.com,,~82 at PA plant (WARN notice),,,,"Contract manufacturer of baked protein bars, protein cookies and brownies for brands and private label since 2000; Bain-affiliate ownership; announced closure of Pleasant Hills PA plant (2025-26)",snack-bakery,0,0,Sean Perich (Founder),https://bakery-barn.com/;https://www.foodprocessing.com/business-of-food-beverage/news/55296403/bar-maker-bakery-barn-to-close-pittsburgh-area-plant;https://triblive.com/business/headlines/8968689-74/bars-bakery-barn
Bardstown Bourbon Company,confirmed co-man (public sweep),sweep only,Bardstown,KY,https://www.bardstownbourbon.com/,,,,,,"One of the largest whiskey distilleries in America (110,000+ barrels/yr, 37,000 sq ft distillery and bottling line); Collaborative/contract distilling program with custom mash bills; clients have incl",beverage,0,0,Mark Erwin (CEO),https://www.bardstownbourbon.com/; https://kybourbontrail.com/distillery/bardstown-bourbon-co/; https://www.thespiritsbusiness.com/2024/10/bardstown-bourbon-co-completes-expansion/; https://distiller.com/articles/bardstown-bourbon-company
"Berner Food & Beverage, LLC",confirmed co-man (public sweep),hoovers+sweep,Dakota,Illinois,http://www.bernerfoodandbeverage.com,4.9590366E7,300,Private,"Berner Food & Beverage, LLC",311513,"Berner Food & Beverageis burning up with dairy fever. The company is a producer of natural cheese (Swiss, cheddar, American), processed cheese (shelf-stable dips, spreads, aerosols, and jars), and sal",beverage,3,2,Steve Kneubuehl (CEO),https://bernerfoodandbeverage.com/; https://www.beveragedaily.com/Article/2017/05/30/Berner-Food-Beverage-triples-production-space-for-RTD-beverages/; https://www.datanyze.com/companies/berner-food-and-beverage/13684219
Best Formulations,confirmed co-man (public sweep),sweep only,City of Industry,CA,https://www.bestformulations.com,$214.8M (VisualVisitor est.),~239 (VisualVisitor est.),,,,"Supplement contract manufacturer founded 1984 (plant-based softgels, gummies, powders, personal care); majority stake acquired by China-based Sirio Pharma 2022",wet-frozen-supplements,0,0,Jeffrey Goh (CEO),https://www.nutritionaloutlook.com/view/sirio-pharma-completes-best-formulations-acquisition;https://www.visualvisitor.com/companies/3230448/best_formulations;https://www.nutraceuticalsworld.com/breaking-news/sirio-pharma-to-acquire-california-based-contract-manufacturer-best-formulations/
