company_name,description,city,state,revenue_estimate,employees,key_person_1_name,key_person_1_title,key_person_1_email,key_person_1_phone,key_person_2_name,key_person_2_title,key_person_2_email,key_person_2_phone,website,source_urls
Hearthside Food Solutions,"Largest US food contract manufacturer; bars, cookies, crackers, baked snacks and contract packaging for major CPG brands",Downers Grove,IL,"$4.3B (2026, Zippia via search)","5,000-13,000 (sources conflict)",Darlene Nicosia,CEO,,,,,,,https://www.hearthsidefoods.com,https://en.wikipedia.org/wiki/Hearthside_Food_Solutions;https://www.zippia.com/hearthside-food-solutions-careers-25980/executives/;https://craft.co/hearthside-food-solutions
Shearer's Foods,"PE-owned (CD&R) contract manufacturer and private-label supplier of salty snacks, cookies and crackers; 17 plants in North America",Massillon,OH,"$2.1B (2026, per search aggregators)","5,000+",,,,,,,,,https://www.shearers.com,https://en.wikipedia.org/wiki/Shearer%27s_Foods;https://www.cdr.com/portfolio/shearers-foods;https://www.shearers.com/
TreeHouse Foods,"Publicly traded private-brands snacking and beverage manufacturer: crackers, pretzels, cookies, hot cereal and more",Oak Brook,IL,"$3.4B (2026)","~9,500",Steven Oakland,President & CEO,,,,,,,https://www.treehousefoods.com,https://en.wikipedia.org/wiki/TreeHouse_Foods;https://www.retaildive.com/news/treehouse-private-label-giant-ceo-steve-oakland/684910/
Tandem Foods,"Contract manufacturer of better-for-you snacks (nutrition bars, chocolate, granola); formed from 2024 merger of TruFood Manufacturing and Bar Bakers; Mubadala Capital-backed; 8 plants",Pittsburgh,PA,,"1,000+ at Bar Bakers unit alone",Michael Buick,CEO,,,Gary Jacobs,COO,,,https://tandemfoods.com,https://www.foodbusinessnews.net/articles/27508-merger-creates-tandem-foods;https://www.snackandbakery.com/articles/112848-trufood-bar-bakers-unite-as-tandem-foods;https://tandemfoods.com/trufood-and-bar-bakers-unite-as-tandem-foods-redefining-customer-partnership-in-the-better-for-you-snack-industry/
Nellson LLC,"Full-service contract manufacturer of nutritional bars and functional powders; plants in California and Utah; founded 1962",Anaheim,CA,,,Jamie Better,CEO,,,,,,,https://www.nellsonllc.com,https://www.nellsonllc.com/;https://www.industrynet.com/listing/380794/nellson-nutraceutical-llc;https://www.snackandbakery.com/articles/103179-nellson-nutraceutical-triples-in-size-through-aggressive-acquisition-strategy
Mount Franklin Foods,"Confections, nuts and mints manufacturer and co-manufacturer (Sunrise Confections, Azar Nut, Hospitality Mints divisions); hard candy, gummies, fruit snacks",El Paso,TX,,"~4,000 (incl. Juarez plants)",Enrique Grajeda,President & CEO,,,,,,,https://www.mountfranklinfoods.com,https://www.prnewswire.com/news-releases/mount-franklin-foods-announces-the-appointment-of-enrique-grajeda-as-president-and-ceo-300878284.html;https://www.elpasoinc.com/news/q_and_a/q-a-enrique-grajeda-president-and-ceo-mount-franklin-foods/article_85e87502-c181-11e9-bc3d-eb589be03f8a.html;https://www.mountfranklinfoods.com/
Gilster-Mary Lee,"Family-held private-label dry grocery manufacturer since 1895: cereal, baking mixes, crackers, snacks; 8,000+ items, ~15 plants in 4 states",Chester,IL,"$534.9M-$1.5B (sources conflict)","~3,000-4,340 (sources conflict)",,,,,,,,,https://www.gilstermarylee.com,https://growjo.com/company/Gilster-Mary_Lee_Corporation;https://www.zippia.com/gilster-mary-lee-careers-24667/;https://www.dnb.com/business-directory/company-profiles.gilster-mary_lee_corporation.b252cfd74ad1ef50b6080f2cbb0a0e84.html
8th Avenue Food & Provisions,"Private-brands maker of granola, nut butters, snack nuts, trail mix and pasta; #1 US private-label granola; wholly owned by Post Holdings",Fenton,MO,"~$1.1B (Star Tribune)",,Jim Dwyer,President & CEO,,,,,,,https://www.8ave.com,https://www.startribune.com/post-acquires-ronzoni-8th-avenue-pasta-granola-nut-butter-private-label-store-brand-880/601366695;https://www.foodbusinessnews.net/articles/28403-post-holdings-takes-full-control-of-8th-avenue;https://www.postconsumerbrands.com/brands/8th-avenue-food-provisions/
Flagstone Foods,"Private-label healthy-snacks manufacturer; #1 in trail mix and dried fruit; plants in Minneapolis MN and North Carolina; owns Emerald Nuts",St. Paul,MN,"$100M-$1B (sources conflict)","370-800 (sources conflict)",Harry Overly,CEO,,,,,,,https://flagstonefoods.com,https://flagstonefoods.com/;https://www.owler.com/company/flagstonefoods;https://www.konaequity.com/company/flagstone-foods-4393669769/
Rise Baking Company,"Platinum Equity/Butterfly-owned supplier of cookies, crispy bars, pies, cakes to in-store bakery and foodservice; 10 acquisitions since 2013",Minneapolis,MN,,"1,001-5,000 (LinkedIn)",Mark McNeil,CEO,,,,,,,https://www.risebakingcompany.com,https://www.bakingbusiness.com/articles/65558-rise-baking-names-mark-mcneil-as-ceo;https://www.prnewswire.com/news-releases/rise-baking-company-appoints-mark-mcneil-as-chief-executive-officer-302670693.html;https://www.linkedin.com/company/rise-baking-company
Snak-King,"Family-led branded and private-label/contract snack maker: tortilla chips, popcorn, extruded snacks, pork rinds, nuts",City of Industry,CA,"$329M-$401M (sources conflict)",~950,Barry C. Levin,Chairman & CEO,,,,,,,https://www.snakking.com,https://en.wikipedia.org/wiki/Snak_King;https://www.snakking.com/manufacturing-capabilities/;https://www.owler.com/company/snakking
Wolfgang Confectioners,"Family-owned (est. 1921) chocolate and confection co-manufacturer/co-packer; acquired The Warrell Corporation adding 230,000 sq ft",York,PA,"$10M-$50M (ZoomInfo via search)",51-250,,,,,,,,,https://www.wolfgangco.com,https://www.wolfgangco.com/;https://www.cpbj.com/wolfgang-confectioners-expands-with-acquisition-of-warrell-corporation/;https://www.zoominfo.com/c/wolfgang-confectioners/98631751
The Warrell Corporation,"Confectionery contract manufacturer (Pennsylvania Dutch, Katharine Beecher brands, private label); acquired by Wolfgang Confectioners",Camp Hill,PA,"$40.5M (2026, RocketReach)",,,,,,,,,,,https://en.wikipedia.org/wiki/The_Warrell_Corporation;https://www.cpbj.com/wolfgang-confectioners-expands-with-acquisition-of-warrell-corporation/;https://rocketreach.co/the-warrell-corporation-profile_b5dfc8f9f42e4965
Zachary Confections,"Family-owned (est. 1950) chocolate/confection manufacturer offering private label, contract packing and seasonal packaging",Frankfort,IN,"$10M-$50M (ZoomInfo via search)",51-250,,,,,,,,,https://www.zacharyconfections.com,https://www.zacharyconfections.com/history;https://www.comanufacturers.com/products/zachary-confections-inc-comanufacturer-profile;https://www.zoominfo.com/c/zachary-confections-inc/195346765
Palmer Candy Company,"Fifth-generation family chocolate/confections maker (est. 1879); contract manufacturing and private-label candy; 300,000 sq ft facilities",Sioux City,IA,,25-500 (sources conflict),Marty Palmer,President & CEO,,,Brenda Huls,CFO,,,https://palmercandy.com,https://palmercandy.com/blogs/leader-ship-team;https://findmymanufacturer.com/manufacturer/palmer-candy/;https://www.zoominfo.com/c/palmer-candy-co/60932584
Georgia Nut Company,"Confectionery and nut manufacturer (est. 1945) offering private label, contract manufacturing and industrial ingredients",Skokie,IL,"$77.6M (2026, per search aggregators)",~246,John Drehobl,President & CEO,,,,,,,https://georgianutcorp.com,https://georgianutcorp.com/about-us;https://georgianutcorp.com/business-solutions/contract-manufacturing;https://leadiq.com/c/georgia-nut-company/5a1d89b224000024006309c5
Madelaine Chocolate Company,"Family-owned (est. 1947) seasonal novelty chocolate maker; own brand plus private-label and contract work",Rockaway Beach,NY,,200-300 (seasonal; 2018 Crain's),Jorge Farber,President & CEO,,,Norman Gold,Vice President,,,https://madelainechocolate.com,https://www.crainsnewyork.com/small-business/six-years-after-sandy-madelaine-chocolate-co-back-mostly;https://madelainechocolate.com/our-story/
Hillside Candy,"Hard candy manufacturer (est. 1945; GoOrganic, GoLightly brands) with private-label and nutraceutical manufacturing; Highlander Partners-owned",Hillside,NJ,,,Ted Cohen,President (post-2016 acquisition),,,,,,,,https://www.foodnavigator-usa.com/Article/2016/11/09/Highlander-Partners-acquires-organic-candy-company-Hillside-Candy/;https://www.prnewswire.com/news-releases/highlander-partners-announces-acquisition-of-hillside-candy-300358630.html
Sconza Chocolates,"Fourth-generation family confectioner (est. 1939): chocolate panning, contract manufacturing; 500,000 sq ft plant",Oakdale,CA,,,Ron Sconza,President & CEO,,,,,,,https://sconza.com,https://sconza.com/pages/about;https://candyusa.com/cst/sconza-chocolates-the-industrys-best-kept-secret/;https://www.smartbrief.com/original/qa-sconza-chocolates-builds-on-85-years-of-success-while-innovating-for-the-future
Anthony-Thomas Candy Company,"Family-owned Columbus chocolate maker (est. 1952) with fundraising, contract manufacturing, retail and wholesale divisions; 152,000 sq ft plant",Columbus,OH,,200+,Joseph Zanetos,President,,,,,,,https://anthony-thomas.com,https://en.wikipedia.org/wiki/Anthony_Thomas_Candy_Company;https://anthony-thomas.com/pages/story
Bakery Barn,"Contract manufacturer of baked protein bars, protein cookies and brownies for brands and private label since 2000; Bain-affiliate ownership; announced closure of Pleasant Hills PA plant (2025-26)",Pittsburgh,PA,,~82 at PA plant (WARN notice),Sean Perich,Founder,,,Leslie Calhoun,CEO,,,https://bakery-barn.com,https://bakery-barn.com/;https://www.foodprocessing.com/business-of-food-beverage/news/55296403/bar-maker-bakery-barn-to-close-pittsburgh-area-plant;https://triblive.com/business/headlines/8968689-74/bars-bakery-barn
