company,hq_location,segment,size_tier,ownership_notes,interview_angle,target_role,contact_path,source_url,status
Hearthside Food Solutions,"Downers Grove IL (30 plants N.America)","bakery/bars/snacks co-man",anchor-large,"PE-owned; was marketed for sale","benchmark: how the biggest CM runs win-work & settle; likely HBS alumni inside","VP Ops / plant GM (alumni path)","HBS alumni search; LinkedIn",https://en.wikipedia.org/wiki/Hearthside_Food_Solutions,not contacted
Shearer's Foods,,"salty snacks private label",anchor-large,"private-label leader in salty snacks","private-label economics; chargeback flows from retail brands","plant GM / QA director","HBS alumni search; LinkedIn",https://www.foodindustry.com/articles/top-10-u-s-private-label-food-manufacturers/,not contacted
TreeHouse Foods,,"private label multi-category",anchor-large,"public; ~$3.6B rev 2024","what mid-size CMs look like from the consolidator's view","corp dev / ops exec (alumni path)","HBS alumni search",https://matrixbcg.com/blogs/competitors/hearthsidefoods,not contacted
Gehl Foods,,"liquid & aseptic dairy",anchor-mid,,"aseptic niche: changeover & QA economics","VP Ops","LinkedIn; website form",https://matrixbcg.com/blogs/competitors/hearthsidefoods,not contacted
Carolina Beverage Group,,"specialty beverage co-man (CSD/tea/energy/spirits)",mid,,"multi-brand changeover + customer-supplied inventory reconciliation","plant manager / CFO","LinkedIn; website form",https://partnerslate.com/learningcenter/contract-beverage-bottling-and-production-companies/,not contacted
DrinkPAK,"CA + TX","canned beverages",large,"2B+ cans/yr; fast-scaling","modern greenfield CM: what software stack they chose and why","ops leadership","LinkedIn",https://partnerslate.com/learningcenter/contract-beverage-bottling-and-production-companies/,not contacted
Portland Bottling Company,"Portland OR","RTD beverages",mid,,"RFQ/quoting workflow for inbound craft brands","GM / sales director","website form; LinkedIn",https://partnerslate.com/learningcenter/beverage-co-packers-drink-manufacturing-companies/,not contacted
Adirondack Bottling (Polar Beverages),"NY","contract beverage production",mid,"division of family-owned Polar","family-owned professionalized CM; supply-chain services angle","division GM","LinkedIn",https://partnerslate.com/learningcenter/contract-beverage-bottling-and-production-companies/,not contacted
Frank-Lin Distillers Products,"Fairfield CA","spirits bottling/co-pack",mid,,"regulated-category settle & compliance load","GM","website form",https://partnerslate.com/learningcenter/contract-beverage-bottling-and-production-companies/,not contacted
Proper Beverage Co.,"Hudsonville MI","full-service beverage co-pack",small-mid,,"small CM: what breaks first as they scale; Excel-to-what journey","owner/GM","website form; LinkedIn",https://partnerslate.com/learningcenter/beverage-co-packers-drink-manufacturing-companies/,not contacted
Wildpack Beverage,"multi-site US","can filling & decoration",mid,,"multi-site canning: scheduling & brand onboarding","site GM","https://wildpackbev.com contact",https://wildpackbev.com/beverage-co-packing/,not contacted
Rocky Mountain Cultures,,"kombucha/RTD fermentation",small,,"niche fermentation co-man; QA documentation burden","owner","website form",https://partnerslate.com/learningcenter/beverage-co-packers-drink-manufacturing-companies/,not contacted
Sauces 'n Love / WEKOPAK,"Lynn MA","wet/dry/frozen/refrigerated multi-category",small-mid,,"Boston-local — easiest in-person visit from HBS; multi-category changeovers","owner","website form; drive over",https://claytowne.com/beats-digging-ditches/resources/co-packers-and-private-labelers/,not contacted
Farm 2 Table Co-Packers,"NY (Hudson Valley)","frozen veg/soups/pickles/sauces",small-mid,,"small-batch + test-kitchen model; tech-transfer workflow","GM","website form",https://claytowne.com/beats-digging-ditches/resources/co-packers-and-private-labelers/,not contacted
IAM International,,"gourmet sauces & bakery private label",small-mid,"est. 1992","long-lived private-label shop; how quoting is actually done","owner","website form",https://claytowne.com/beats-digging-ditches/resources/co-packers-and-private-labelers/,not contacted
Mad Will's Food Company,"Northern CA","premium private label & custom co-pack",small,"operating since 1989","family shop: paying capacity reality-check (H2)","owner","website form",https://claytowne.com/beats-digging-ditches/resources/co-packers-and-private-labelers/,not contacted
Ready Foods,"Denver CO [UNVERIFIED]","sauces/soups co-manufacture (foodservice)",mid,,"foodservice-side co-man: different settle dynamics vs retail","ops leadership","https://www.readyfoods.biz/private-label",https://www.readyfoods.biz/private-label,not contacted
Redstone Food Group,"Toronto area (CANADA)","commercial bakery / in-store bakery co-pack",mid,"Clairvest minority investment 2025","PE-backed professionalization: what they'll buy post-investment","CEO/CFO","LinkedIn",https://www.capstonepartners.com/insights/article-food-sector-mergers-acquisitions-update/,not contacted
FoodScience,"Williston VT","nutritionals formulator/manufacturer",mid,"Morgan Stanley Capital Partners-owned","supplements CM: high-doc-burden category; PE playbook","COO","LinkedIn",https://www.privsource.com/acquisitions/food-beverage/2024,not contacted
Ricardo Food Group,,"co-pack sourcing broker (600+ facility network)",broker,,"informant not target: sees RFQ flow across 600 facilities — where do matches die?","principal","website form",https://claytowne.com/beats-digging-ditches/resources/co-packers-and-private-labelers/,not contacted
