rank,score,company_name,status,segment,city,state,website,key_person,mergent_email,mergent_phone,rationale,outreach_status
1,10,Blount Fine Foods Corp.,confirmed co-man (public sweep),wet-frozen-supplements,Fall River,Massachusetts,http://www.blountfinefoods.com,Todd Blount (President & CEO (third generation)),,,verified co-man; key person known; 2 Hoovers email(s) flagged; mid-market size; Northeast (drivable/near),not contacted
2,10,"Kettle Cuisine, LLC",confirmed co-man (public sweep),wet-frozen-supplements,Lynn,Massachusetts,http://www.kettlecuisine.com,Liam McClennon (CEO),,,verified co-man; key person known; 1 Hoovers email(s) flagged; mid-market size; Northeast (drivable/near),not contacted
3,9,Anthony-Thomas Candy Company,confirmed co-man (public sweep),snack-bakery,Columbus,Ohio,http://www.anthony-thomas.com,Joseph Zanetos (President),,,verified co-man; key person known; 1 Hoovers email(s) flagged; mid-market size,not contacted
4,9,"Berner Food & Beverage, LLC",confirmed co-man (public sweep),beverage,Dakota,Illinois,http://www.bernerfoodandbeverage.com,Steve Kneubuehl (CEO),,,verified co-man; key person known; 2 Hoovers email(s) flagged; mid-market size,not contacted
5,9,"Cedarlane Natural Foods, LLC",confirmed co-man (public sweep),wet-frozen-supplements,Carson,California,http://www.cedarlanefoods.com,Robert Atallah (Founder & CEO),,,verified co-man; key person known; 1 Hoovers email(s) flagged; mid-market size,not contacted
6,9,"Golden Boy Foods USA, Inc.",confirmed co-man (public sweep),snack-bakery,Fenton,Missouri,http://www.8ave.com,Jim Dwyer (President & CEO),,,verified co-man; key person known; 2 Hoovers email(s) flagged; mid-market size,not contacted
7,9,"Lyons Magnus, LLC",confirmed co-man (public sweep),beverage,Fresno,California,http://www.lyonsmagnus.com,Edward Carolan (CEO),,,verified co-man; key person known; 2 Hoovers email(s) flagged; mid-market size,not contacted
8,9,"Organic Milling, Inc.",confirmed co-man (public sweep),snack-bakery,San Dimas,California,http://www.organicmilling.com,Wolfgang Buehler (CEO),,,verified co-man; key person known; 1 Hoovers email(s) flagged; mid-market size,not contacted
9,9,Palmer & Company,confirmed co-man (public sweep),snack-bakery,Sioux City,Iowa,http://www.palmercandy.com,Marty Palmer (President & CEO),,,verified co-man; key person known; 1 Hoovers email(s) flagged; mid-market size,not contacted
10,9,"Tulkoff Food Products, Inc.",confirmed co-man (public sweep),wet-frozen-supplements,Baltimore,Maryland,http://www.tulkoff.com,Mike Kagan (CEO (appointed Feb 2025)),,,verified co-man; key person known; 2 Hoovers email(s) flagged; mid-market size,not contacted
11,9,Vanee Foods Company,confirmed co-man (public sweep),wet-frozen-supplements,Oak Brook,Illinois,http://www.vanee.com,Aloysius Van Eekeren (President),,,verified co-man; key person known; 1 Hoovers email(s) flagged; mid-market size,not contacted
12,9,Wixon Inc.,confirmed co-man (public sweep),snack-bakery,Milwaukee,Wisconsin,http://www.wixon.com,Peter Gottsacker (President),,,verified co-man; key person known; 3 Hoovers email(s) flagged; mid-market size,not contacted
13,8,Adirondack Beverages Corp,confirmed co-man (public sweep),beverage,Schenectady,New York,http://www.adirondackbeverages.com,,,,verified co-man; 1 Hoovers email(s) flagged; mid-market size; Northeast (drivable/near),not contacted
14,8,"Hearthside Food Solutions, LLC",confirmed co-man (public sweep),snack-bakery,Downers Grove,Illinois,http://www.hearthsidefoods.com,Darlene Nicosia (CEO),,,verified co-man; key person known; 3 Hoovers email(s) flagged,not contacted
15,8,"TreeHouse Foods, Inc.",confirmed co-man (public sweep),snack-bakery,Oak Brook,Illinois,http://www.treehousefoods.com,Steven Oakland (President & CEO),,,verified co-man; key person known; 1 Hoovers email(s) flagged,not contacted
16,7,"Carolina Foods, LLC",confirmed co-man (public sweep),beverage,Charlotte,North Carolina,http://www.carolinafoodsinc.com,Brian Demos (President & CEO),,,verified co-man; key person known; mid-market size,not contacted
17,7,"City Brewing Company, LLC",confirmed co-man (public sweep),beverage,La Crosse,Wisconsin,http://www.citybrewery.com,Ross Sannes (CEO),,,verified co-man; key person known; mid-market size,not contacted
18,7,"DrinkPAK, LLC",confirmed co-man (public sweep),beverage,Santa Clarita,California,http://www.drinkpak.com,Nate Patena (CEO & Co-founder),,,verified co-man; key person known; mid-market size,not contacted
19,7,"Ellison Bakery, LLC",confirmed co-man (public sweep),snack-bakery,Fort Wayne,Indiana,http://www.ebakery.com,Stephanie Chattillion (CEO),,,verified co-man; key person known; mid-market size,not contacted
20,7,"Fresca Foods, Inc.",confirmed co-man (public sweep),snack-bakery,Louisville,Colorado,http://www.frescafoodsinc.com,Brandon Viar (CEO),,,verified co-man; key person known; mid-market size,not contacted
21,7,GEORGIA NUT COMPANY,confirmed co-man (public sweep),snack-bakery,Skokie,Illinois,http://www.georgianutcorp.com,John Drehobl (President & CEO),,,verified co-man; key person known; mid-market size,not contacted
22,7,"LIEF ORGANICS, LLC",confirmed co-man (public sweep),wet-frozen-supplements,Valencia,California,http://www.lieflabs.com,Adel Villalobos (Founder & CEO),,,verified co-man; key person known; mid-market size,not contacted
23,7,"Lakeside Foods, Inc.",confirmed co-man (public sweep),wet-frozen-supplements,Manitowoc,Wisconsin,http://www.lakesidefoods.com,Joe Yanda (President & CEO (since 2021)),,,verified co-man; key person known; mid-market size,not contacted
24,7,Refresco Beverages US Inc.,confirmed co-man (public sweep),beverage,Tampa,Florida,http://www.refresco-na.com,Brad Goist (CEO Refresco Beverages US / COO North America),,,verified co-man; key person known; mid-market size,not contacted
25,7,Snak-King LLC,confirmed co-man (public sweep),snack-bakery,City OF Industry,California,http://www.snakking.com,Barry C. Levin (Chairman & CEO),,,verified co-man; key person known; mid-market size,not contacted
26,7,"Stremicks Heritage Foods, LLC",confirmed co-man (public sweep),beverage,Santa Ana,California,http://www.heritage-foods.com,,,,verified co-man; 2 Hoovers email(s) flagged; mid-market size,not contacted
27,7,The Pecan Deluxe Candy Company,confirmed co-man (public sweep),wet-frozen-supplements,Dallas,Texas,http://www.pecandeluxe.com,Ray Walsh (Founder),,,verified co-man; key person known; mid-market size,not contacted
28,7,"Wolfgang Operations, LLC",confirmed co-man (public sweep),snack-bakery,York,Pennsylvania,http://www.wolfgangco.com,,,,verified co-man; 2 Hoovers email(s) flagged; mid-market size,not contacted
29,6,"Ford Gum & Machine Company, Inc.",likely co-man (D&B description),,Akron,New York,http://www.fordgum.com,,,,D&B says contract/private-label; 2 Hoovers email(s) flagged; mid-market size; Northeast (drivable/near),not contacted
30,6,Gilster-Mary Lee Corporation,confirmed co-man (public sweep),snack-bakery,Chester,Illinois,http://www.gilstermarylee.com,,,,verified co-man; 3 Hoovers email(s) flagged,not contacted
31,6,"Star Snacks Co., LLC",confirmed co-man (public sweep),snack-bakery,Jersey City,New Jersey,http://www.starsnacks.net,,,,verified co-man; mid-market size; Northeast (drivable/near),not contacted
32,6,Union Beverage Packers LLC,confirmed co-man (public sweep),beverage,Hillside,New Jersey,http://www.unionbevnj.com,,,,verified co-man; mid-market size; Northeast (drivable/near),not contacted
33,5,AZPACK (Arizona Production & Packaging),confirmed co-man (public sweep),beverage,Tempe,AZ,https://www.azpack.com/,Peter Reilly (Co-founder),,,verified co-man; key person known,not contacted
34,5,Abita Brewing Company,confirmed co-man (public sweep),beverage,Abita Springs,LA,https://abita.com/,Troy Ashley (President (per 2026 trade press; earlier sources name David Blossman)),,,verified co-man; key person known,not contacted
35,5,American Crystal Sugar Company,likely co-man (D&B description),,Moorhead,Minnesota,http://www.crystalsugar.com,,,,D&B says contract/private-label; 2 Hoovers email(s) flagged; mid-market size,not contacted
36,5,Arizona Nutritional Supplements (ANS),confirmed co-man (public sweep),wet-frozen-supplements,Chandler,AZ,https://www.aznutritional.com,Doug Reader (President & CEO (per promotion announcement; RocketReach lists Harrison Pappas as CEO)),,,verified co-man; key person known,not contacted
37,5,Bakery Barn,confirmed co-man (public sweep),snack-bakery,Pittsburgh,PA,https://bakery-barn.com,Sean Perich (Founder),,,verified co-man; key person known,not contacted
38,5,Bardstown Bourbon Company,confirmed co-man (public sweep),beverage,Bardstown,KY,https://www.bardstownbourbon.com/,Mark Erwin (CEO),,,verified co-man; key person known,not contacted
39,5,Best Formulations,confirmed co-man (public sweep),wet-frozen-supplements,City of Industry,CA,https://www.bestformulations.com,Jeffrey Goh (CEO),,,verified co-man; key person known,not contacted
40,5,Bite Brands,confirmed co-man (public sweep),snack-bakery,Atlanta,GA,https://www.bitebrands.com,Kevin Holden (Founder & CEO),,,verified co-man; key person known,not contacted
41,5,Brau Brothers Brewing Co.,confirmed co-man (public sweep),beverage,Marshall,MN,https://braubeer.com/,Dustin Brau (Founder),,,verified co-man; key person known,not contacted
42,5,Brooklyn Bottling,confirmed co-man (public sweep),beverage,Milton,NY,https://brooklynbottling.com/,Eric Miller (Owner (third generation)),,,verified co-man; key person known,not contacted
43,5,Burke Marketing Corporation,likely co-man (D&B description),,Nevada,Iowa,http://www.burkecorp.com,,,,D&B says contract/private-label; 2 Hoovers email(s) flagged; mid-market size,not contacted
44,5,Calpack Foods,confirmed co-man (public sweep),wet-frozen-supplements,Torrance,CA,http://www.calpackfoods.com,Susan Ricci (CEO (also CEO of HPP Food Services)),,,verified co-man; key person known,not contacted
45,5,"Coating Place, LLC",likely co-man (D&B description),,Verona,Wisconsin,http://www.coatingplace.com,,,,D&B says contract/private-label; 1 Hoovers email(s) flagged; mid-market size,not contacted
46,5,"Coloma Frozen Foods, Inc.",likely co-man (D&B description),,Coloma,Michigan,http://www.colomafrozen.com,,,,D&B says contract/private-label; 1 Hoovers email(s) flagged; mid-market size,not contacted
47,5,Consolidated Mills,confirmed co-man (public sweep),wet-frozen-supplements,Houston,TX,https://consolidatedmills.com,Scott Vrana (President),,,verified co-man; key person known,not contacted
48,5,Cookies United,confirmed co-man (public sweep),snack-bakery,Islip,NY,https://www.cookiesunited.com,Luis Galeano (President & CEO),,,verified co-man; key person known,not contacted
49,5,Country Pure Foods,confirmed co-man (public sweep),beverage,Akron,OH,https://www.countrypure.com/,Tony Muscato (CEO),,,verified co-man; key person known,not contacted
50,5,Craft Cannery,confirmed co-man (public sweep),wet-frozen-supplements,Bergen,NY,https://www.craftcannery.com,Paul Guglielmo (CEO & Owner),,,verified co-man; key person known,not contacted
