rank,score,company_name,coman_status,segment,city,state,website,sales_usd,employees_total,ownership_type,parent_company,naics,business_description,best_contact_from_hoovers,n_contacts,n_with_email,key_person_public,key_person_2_public,source_urls,rationale,outreach_status,mergent_email,mergent_phone,notes
1,7,"A. Zerega's Sons, Inc.",unclassified food/bev mfr,,Fair Lawn,New Jersey,http://www.zerega.com,2.3007849E7,200,Private,Philadelphia Macaroni Company,311999,"A. Zerega's Sons, Inc. is primarily engaged in manufacturing prepared foods and miscellaneous food specialties, not elsewhere classified, such as baking powder, yeast, and other leavening compounds; p",Robert Vermylen — Vice President,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
2,7,"Al and John, Inc.",unclassified food/bev mfr,,Caldwell,New Jersey,http://www.glenrockhams.com,2.7378147E7,300,Private,,311612,"Al And John, Inc. is primarily engaged in manufacturing sausages, cured meats, smoked meats, canned meats, frozen meats, and other prepared meats and meat specialties, from purchased carcasses and oth",Alexander Oldja — President,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
3,7,"Allen Flavors, Inc.",unclassified food/bev mfr,,South Plainfield,New Jersey,http://www.allenflavors.com,2.365509E7,115,Private,"Allen Flavors, Inc.",311942,"Allen Flavors, Inc. is primarily engaged in manufacturing flavoring extracts, syrups, powders, and related products, not elsewhere classified, for soda fountain use or for the manufacture of soft drin",Sal Brucato — Chief Operating Officer,3,3,,,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
4,7,B & B Poultry Co Inc,unclassified food/bev mfr,,Elmer,New Jersey,http://www.bbpoultry.com,2.3967476E7,175,Private,,311615,"B & B Poultry Co Inc is primarily engaged in slaughtering, dressing, packing, freezing, and canning poultry, rabbits, and other small game, or in manufacturing products from such meats, for their own ",Mark Fisher — Chief Executive Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
5,7,"B&G Foods North America, Inc.",unclassified food/bev mfr,,Parsippany,New Jersey,http://www.bgfoods.com,4.6042095E7,300,Private,"B&G Foods, Inc.",311612,"B&G Foods North America, Inc. is primarily engaged in manufacturing sausages, cured meats, smoked meats, canned meats, frozen meats, and other prepared meats and meat specialties, from purchased carca",Kenneth Keller — Director President And Chief Executive Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
6,7,"Bakewise Brands, Inc.",unclassified food/bev mfr,,Macedon,New York,http://www.bakewisebrands.com,2.5893177E7,135,Private,"YAMAZAKI BAKING CO., LTD.",445291,"Bakewise Brands, Inc. is primarily engaged in the retail sale of bakery products. The products may be purchased from others or made on the premises.",Aaron Fleischer — Vice President Of Sales,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
7,7,Beech-Nut Nutrition Company,unclassified food/bev mfr,,Amsterdam,New York,http://www.beechnut.com,4.2585739E7,300,Private,Hero AG,311999,"Peas and applesauce -- Beech-Nut Nutrition puts them in jars for baby'slunch or baby's finger-painting. Asone of the topbranded baby food makers (along with Gerber and Heinz), Beech-Nut Nutrition hope",Jeffrey Boutelle — PRESIDENT,3,1,,,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
8,7,"Beverage Distribution Center, Inc.",unclassified food/bev mfr,,Pennsauken,New Jersey,http://www.hongrp.com,4.3877811E7,200,Private,"Beverage Distribution Center, Inc.",312111,"Beverage Distribution Center, Inc. is primarily engaged in manufacturing soft drinks and carbonated waters.",Walter Wilkinson — President,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
9,7,Big Geyser Inc.,unclassified food/bev mfr,,Maspeth,New York,http://www.biggeyser.com,2.2162895E7,300,Private,Big Geyser Inc.,312111,Big Geyser Inc. is primarily engaged in manufacturing soft drinks and carbonated waters.,Jerry Reda — Chief Operating Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
10,7,"Bio-Nutritional Research Group, Inc.",unclassified food/bev mfr,,Parsippany,New Jersey,http://www.powercrunch.com,2.1108791E7,185,Private,,311514,"Bio-Nutritional Research Group, Inc. is primarily engaged in manufacturing dry, condensed, and evaporated dairy products. This also includes manufacturing mixes for the preparation of frozen ice cream",Curtis Steinhaus — Chief Financial Officer,3,2,,,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,,
