company_name,description,city,state,revenue_estimate,employees,key_person_1_name,key_person_1_title,key_person_1_email,key_person_1_phone,key_person_2_name,key_person_2_title,key_person_2_email,key_person_2_phone,website,source_urls
Tulkoff Food Products,"Sauce/condiment co-packer and private-label manufacturer (garlic, horseradish, aioli, specialty sauces); 400+ items; founded as family business, acquired by PE firm Graham Partners Oct 2024; second plant in Cincinnati OH",Baltimore,MD,"$70.6M (Growjo est.; other ests. $25-100M)","~116 (ests. range 67-250)",Mike Kagan,CEO (appointed Feb 2025),,,Philip Tulkoff,Former President; Advisory Council member,,,https://www.tulkoff.com,https://www.tulkoff.com/co-packing/;https://www.grahampartners.net/news/grahams-latest-investment-has-the-secret-sauce/;https://www.prnewswire.com/news-releases/tulkoff-food-products-appoints-mike-kagan-as-new-ceo-302383773.html;https://growjo.com/company/Tulkoff_Food_Products
Sokol Custom Food Ingredients (Sokol & Company),"Wet-fill liquid food ingredient manufacturer founded 1895 (sweet/savory sauces, almond paste, dressings, marinades, glazes, fillings); SQF Level III; PE-owned 2022-2025 (Burlington Capital Partners), sold to France-based Solina Feb 2025",Countryside,IL,,100+,Shawn Sullivan,CEO,,,Michael Novak,COO,,,https://www.sokolcustomfoods.com,https://peprofessional.com/2025/02/burlington-sells-sokol-to-french-strategic-buyer-solina/;https://sbia.org/2024/02/27/sokol-company-countryside-il/;https://markets.financialcontent.com/thepilotnews/article/accwirecq-2022-9-1-gladstone-capital-corporation-partners-with-burlington-capital-partners-in-connection-with-acquisition-of-sokol-and-company
Spicin Foods (formerly Original Juan),"Co-packer/private-label manufacturer of hot sauces, salsas, BBQ sauces, dips since 1998; 60,000 sq ft plant; produces 1,500+ products for 100+ companies",Kansas City,KS,,51-200 (ZoomInfo),Scott Morse,CEO,,,,,,,https://spicinfoods.com,https://spicinfoods.com/about/;https://www.zoominfo.com/c/spicin-foods/464967627
LiDestri Food and Drink,"Family-owned contract manufacturer; largest US pasta sauce producer (formerly Cantisano Foods); sauces, salsas, dips, spirits; plants in Fairport & Greece NY and Fresno CA; owns Francesco Rinaldi brand",Fairport,NY,,"~1,000-1,200",John LiDestri,Co-CEO,,,Stefani LiDestri,Co-CEO,,,https://www.lidestrifoods.com,https://www.wxxinews.org/local-news/2024-04-15/lidestri-foods-celebrates-50-years-and-refocuses-on-its-core-business;https://rbj.net/2024/04/15/lidestri-marks-major-milestones/;https://en.wikipedia.org/wiki/Francesco_Rinaldi
Blount Fine Foods,"Third-generation family-owned manufacturer of fresh and frozen soups, sides and entrees; co-manufactures for Panera Bread and Legal Sea Foods; ~60% of US fresh soup market; HQ moving to Warren RI",Fall River,MA,,"~1,100 (Fall River)",Todd Blount,President & CEO (third generation),,,,,,,https://blountfinefoods.com,https://en.wikipedia.org/wiki/Blount_Fine_Foods;https://www.oceanstatemedia.org/news-and-culture/after-20-years-in-fall-river-blount-snags-3-2m-in-tax-incentives-to-return-to-rhode-island
Kettle Cuisine,"PE-owned (L Catterton, since Dec 2022; previously Kainos Capital) contract manufacturer of small-batch soups, sauces, broths and sides; four US facilities; acquired Harry's Fresh Foods and Del Monaco Foods",Lynn,MA,,,Liam McClennon,CEO,,,,,,,https://www.kettlecuisine.com,https://www.crunchbase.com/organization/kettle-cuisine;https://theshelbyreport.com/2019/04/15/kettle-cuisine-buys-harrys-fresh-foods/;https://www.just-food.com/news/private-equity-backed-kettle-cuisine-acquires-soup-maker-harrys-fresh-foods/
Heritage Specialty Foods,"Family-owned (two families, two generations) kettle-cook co-manufacturer: fresh soups, chilis, stews, sauces, gravies, marinades, sides; USDA-inspected",Milwaukie,OR,,~38 (LeadIQ),Shane Hendren,"Co-owner, President & CEO",,,Lana Slezak,Owner & COO,,,https://heritagespecialtyfoods.com,https://heritagespecialtyfoods.com/about/;https://leadiq.com/c/heritage-specialty-foods-llc/5f5276b51ecba4fee36fe1aa/employee-directory;https://www.fsis.usda.gov/inspection/fsis-inspected-establishments/heritage-specialty-foods-llc
Sandridge Crafted Foods,"Family-owned manufacturer of fresh refrigerated soups, deli salads, dips, sides and entrees; private label, co-pack and meal assembly for retail, deli, foodservice",Medina,OH,$222.5M (RocketReach est.),~434 (RocketReach est.),Mark Sandridge,CEO (since 1997),,,Jordan Sandridge,Co-President,,,https://sandridge.com,https://sandridge.com/about-us/;https://rocketreach.co/sandridge-crafted-foods-profile_b5c4263df42e0deb;https://foodchainmagazine.com/sandridge-crafted-foods-delivering-consistency-in-a-complex-fresh-food-landscape/
Walker's Fresh Foods (Walker's Food Products),"Family-owned since 1947; 100+ refrigerated deli salads, sides, dips and desserts; private label/co-packing for restaurants, grocers, foodservice (~75% foodservice)",North Kansas City,MO,,,Michael Stinson,COO & Director of Sales,,,,,,,https://walkersfoodproducts.com,https://walkersfoodproducts.com/co-packing/;https://www.supermarketperimeter.com/articles/2597-walker-s-fresh-foods-thrives-with-regional-approach;https://copackconnect.com/parking-spaces/walkers-food-products/
Vanee Foods Company,"Family-owned since 1950 (ten VanEekeren family members in management); shelf-stable entrees, gravies, sauces, soups and bases; two USDA-inspected Chicago-area plants; co-packs for major food companies",Berkeley,IL,$37.4M (Kona Equity est.; ests. $35-38.4M),~312 (ests. range 100-350),Aloysius Van Eekeren,President,,,,,,,https://www.vaneefoodsco.com,https://en.wikipedia.org/wiki/Vanee_Foods;https://www.konaequity.com/company/vanee-foods-company-4398548424/;https://rocketreach.co/vanee-foods-company-profile_b5c295acf42e0ecf
